folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used
Actigraphy,sawa106,Average total time awake during weekday in bed,"",numeric,minutes,"","","",""
Actigraphy,sawa107,Average sleep efficiency in main sleep over weekdays,"",numeric,percent,"","","",""
Actigraphy,sawa108,Standard deviation of sleep efficiency in main sleep periods over weekdays,"",numeric,percent,"","","",""
Actigraphy,sawa109,Average sleep maintenance efficiency in main sleep over weekdays,"",numeric,percent,"","","",""
Actigraphy,sawa11,Number of good weekend days,"",numeric,"","","","",""
Actigraphy,sawa110,Standard deviation of sleep maintenance efficiency in main sleeps over weekdays,"",numeric,percent,"","","",""
Actigraphy,sawa111,Average fragmentation index in main sleeps over weekdays,"",numeric,percent,"","","",""
Actigraphy,sawa112,Average sleep bout in main sleep over weekday,"",numeric,"","","","",""
Actigraphy,sawa113,Average wake bout in main sleep period over weekdays,"",numeric,"","","","",""
Actigraphy,sawa114,Number of weekdays with any naps,"",numeric,days,"","","",""
Actigraphy,sawa115,Number of weekdays with naps during sleep time,"",numeric,days,"","","",""
Actigraphy,sawa116,Number of weekdays with naps at least 15 minutes in length,"",numeric,days,"","","",""
Actigraphy,sawa117,Average number of naps per weekday,"",numeric,naps per weekday,"","","",""
Actigraphy,sawa118,Average number of weekdays with naps with sleep time,"",numeric,naps per weekday,"","","",""
Actigraphy,sawa119,Average number of naps per weekday at least 15 minutes in length,"",numeric,naps per day,"","","",""
Actigraphy,sawa120,Average sleep time per weekday nap,"",numeric,minutes,"","","",""
Actigraphy,sawa121,Average sleep time per weekday nap of naps with sleep time,"",numeric,minutes,"","","",""
Actigraphy,sawa122,Average sleep time per weekday nap of naps at least 15 minutes in length,"",numeric,minutes,"","","",""
Actigraphy,sawa123,Average sleep time in weekday naps over recorded days,"",numeric,minutes per day,"","","",""
Actigraphy,sawa124,Average sleep time in naps per weekday over recorded days of naps at least 15 minutes in length,"",numeric,minutes per day,"","","",""
Actigraphy,sawa125,Average in bed time for main sleeps over all weekdays,"",time,"","","","",""
Actigraphy,sawa126,Standard deviation of weekday in bed times,"",time,"","","","",""
Actigraphy,sawa127,Average sleep onset time over all weekdays,"",time,"","","","",""
Actigraphy,sawa128,Standard deviation of weekday sleep onset times,"",time,"","","","",""
Actigraphy,sawa129,Average sleep offset time over all weekdays,"",time,"","","","",""
Actigraphy,sawa12_days,Days since main study baseline visit to collection start date,"",numeric,days,"","","",""
Actigraphy,sawa13,Data collection start time,"",time,"","","","",""
Actigraphy,sawa130,Standard deviation of the sleep weekday offset times,"",time,"","","","",""
Actigraphy,sawa131,Average out of bed weekday time,"",time,"","","","",""
Actigraphy,sawa132,Standard deviation of out of bed weekday times,"",time,"","","","",""
Actigraphy,sawa133,Average weekday mid time between in and out of bed,"",time,"","","","",""
Actigraphy,sawa134,Standard deviation of weekday mid times between in and out of bed,"",time,"","","","",""
Actigraphy,sawa135,Average weekday mid time between sleep onset and offset,"",time,"","","","",""
Actigraphy,sawa136,Standard deviation of weekday mid time between sleep onset and offset,"",time,"","","","",""
Actigraphy,sawa137,Average white light time above lux threshold per weekday,"",numeric,minutes,"","","",""
Actigraphy,sawa138,Average blue light time above lux threshold per weekday,"",numeric,minutes,"","","",""
Actigraphy,sawa139,Average green light time above lux threshold per weekday,"",numeric,minutes,"","","",""
Actigraphy,sawa140,Average red light time above lux threshold per weekday,"",numeric,minutes,"","","",""
Actigraphy,sawa141,Number of weekends with sleep data recorded,"",numeric,weekends,"","","",""
Actigraphy,sawa142,Average 24 hour sleep over weekend,"",numeric,minutes,"","","",""
Actigraphy,sawa143,Standard deviation of 24 hour sleep over weekend,"",numeric,minutes,"","","",""
Actigraphy,sawa144,Average in bed duration from main sleep over weekend,"",numeric,minutes,"","","",""
Actigraphy,sawa145,Standard deviation of weekend in bed duration,"",numeric,minutes,"","","",""
Actigraphy,sawa146,Average sleep duration from main sleep over weekend,"",numeric,minutes,"","","",""
Actigraphy,sawa147,Standard deviation of weekend sleep period,"",numeric,minutes,"","","",""
Actigraphy,sawa148,Average sleep time in main sleep over weekend,"",numeric,minutes,"","","",""
Actigraphy,sawa149,Standard deviation of weekend sleep time in main sleep,"",numeric,minutes,"","","",""
Actigraphy,sawa14_days,Days since main study baseline visit to collection end date,"",numeric,days,"","","",""
Actigraphy,sawa15,Data collection end time,"",time,"","","","",""
Actigraphy,sawa150,Average sleep onset latency in main sleep over weekend,"",numeric,minutes,"","","",""
Actigraphy,sawa151,Average wake after sleep onset in weekend main sleep,"",numeric,minutes,"","","",""
Actigraphy,sawa152,Average snooze time in main sleep over weekend,"",numeric,minutes,"","","",""
Actigraphy,sawa153,Average total time awawke during weekend in bed,"",numeric,minutes,"","","",""
Actigraphy,sawa154,Average sleep efficiency in main sleep over weekend,"",numeric,percent,"","","",""
Actigraphy,sawa155,Standard deviation in sleep efficiency in main sleep over weekend,"",numeric,percent,"","","",""
Actigraphy,sawa156,Average sleep maintenance efficiency in main sleep over weekend,"",numeric,percent,"","","",""
Actigraphy,sawa157,Standard deviation of sleep maintenance efficiency in main sleep over weekend,"",numeric,percent,"","","",""
Actigraphy,sawa158,Average fragmentation index in main sleep over weekend,"",numeric,percent,"","","",""
Actigraphy,sawa159,Avera sleep bout in main sleep period over weekend,"",numeric,"","","","",""
Actigraphy,sawa16,Average duration of rest period,"",numeric,minutes,"","","",""
Actigraphy,sawa160,Average wake bout in main sleep period over weekend,"",numeric,"","","","",""
Actigraphy,sawa161,Number of weekends with any naps,"",numeric,weekends,"","","",""
Actigraphy,sawa162,Number of weekends with naps with sleep time,"",numeric,weekends,"","","",""
Actigraphy,sawa163,Number of weekends with naps at least 15 minutes in length,"",numeric,weekends,"","","",""
Actigraphy,sawa164,Average number of naps per weekend,"",numeric,naps,"","","",""
Actigraphy,sawa165,Average number of naps per weekend with sleep time,"",numeric,naps,"","","",""
Actigraphy,sawa166,Average number of naps per weekend at least 15 minutes in length,"",numeric,naps,"","","",""
Actigraphy,sawa167,Average nap sleep time per weekend nap,"",numeric,minutes,"","","",""
Actigraphy,sawa168,Average nap sleep time per weekend nap of naps with sleep time,"",numeric,minutes,"","","",""
Actigraphy,sawa169,Average nap sleep time per weekend nap of naps at least 15 minutes in length,"",numeric,minutes,"","","",""
Actigraphy,sawa17,Average white levels during average rest period,"",numeric,lux,"","","",""
Actigraphy,sawa170,Average sleep time in naps per weekend over recorded days,"",numeric,minutes per day,"","","",""
Actigraphy,sawa171,Average sleep time in naps per weekend over recorded days of naps at least 15 minutes in length,"",numeric,minutes per day,"","","",""
Actigraphy,sawa172,Average in bed time for main sleep over all weekend,"",time,"","","","",""
Actigraphy,sawa173,Standard deviation of weekend in bed time,"",time,"","","","",""
Actigraphy,sawa174,Average sleep onset time over all weekends,"",time,"","","","",""
Actigraphy,sawa175,Standard deviation of weekend sleep onset time,"",time,"","","","",""
Actigraphy,sawa176,Average sleep offset time over all weekends,"",time,"","","","",""
Actigraphy,sawa177,Standard deviation of the sleep weekend offset time,"",time,"","","","",""
Actigraphy,sawa178,Average out of bed time over all weekends,"",time,"","","","",""
Actigraphy,sawa179,Standard deviation of out of bed weekend time,"",time,"","","","",""
Actigraphy,sawa18,Average duration of sleep period,"",numeric,minutes,"","","",""
Actigraphy,sawa180,Average weekend mid time between in and out bed,"",time,"","","","",""
Actigraphy,sawa181,Standard deviation of weekend mid time between in and out of bed,"",time,"","","","",""
Actigraphy,sawa182,Average weekend mid time between sleep onset and sleep offset,"",time,"","","","",""
Actigraphy,sawa183,Standard deviation of weekend mid time between sleep onset and sleep offset,"",time,"","","","",""
Actigraphy,sawa184,Average white light time above lux threshold per weekend,"",numeric,minutes,"","","",""
Actigraphy,sawa185,Average blue light time above lux threshold per weekend,"",numeric,minutes,"","","",""
Actigraphy,sawa186,Average green light time above lux threshold per weeked,"",numeric,minutes,"","","",""
Actigraphy,sawa187,Average red light time above lux threshold per weekend,"",numeric,minutes,"","","",""
Actigraphy,sawa188,Number of workdays with sleep data recorded,"",numeric,workdays,"","","",""
Actigraphy,sawa189,Average 24 hour sleep over workday,"",numeric,minutes,"","","",""
Actigraphy,sawa19,Average sleep onset latency,"",numeric,minutes,"","","",""
Actigraphy,sawa190,Standard deviation of 24 hour sleep over workday,"",numeric,minutes,"","","",""
Actigraphy,sawa191,Average in bed duration from main sleep over workday,"",numeric,minutes,"","","",""
Actigraphy,sawa192,Standard deviation of workday in bed duration,"",numeric,minutes,"","","",""
Actigraphy,sawa193,Average sleep duration from main sleep over workday,"",numeric,minutes,"","","",""
Actigraphy,sawa194,Standard deviation of workday sleep period,"",numeric,minutes,"","","",""
Actigraphy,sawa195,Average sleep time in main sleep over workday,"",numeric,minutes,"","","",""
Actigraphy,sawa196,Standard deviation of workday sleep time in main sleep,"",numeric,minutes,"","","",""
Actigraphy,sawa197,Average sleep onset latency in main sleep over workday,"",numeric,minutes,"","","",""
Actigraphy,sawa198,Average wake after sleep onset in workday main sleep,"",numeric,minutes,"","","",""
Actigraphy,sawa199,Average snooze time in main sleep over workday,"",numeric,minutes,"","","",""
Actigraphy,sawa2,Contact Occasion,"",choices,"",visit,"","",""
Actigraphy,sawa20,Average sleep snooze time,"",numeric,minutes,"","","",""
Actigraphy,sawa200,Average total time awake during workday in bed,"",numeric,minutes,"","","",""
Actigraphy,sawa201,Average sleep efficiency in main sleep over workday,"",numeric,percent,"","","",""
Actigraphy,sawa202,Standard deviation of sleep efficiency in main sleeps over workdays,"",numeric,percent,"","","",""
Actigraphy,sawa203,Average sleep maintenance efficiency in main sleeps over workdays,"",numeric,percent,"","","",""
Actigraphy,sawa204,Standard deviation of sleep maintenance efficiency in main sleeps over workdays,"",numeric,percent,"","","",""
Actigraphy,sawa205,Average fragmentation index in main sleep over workdays,"",numeric,percent,"","","",""
Actigraphy,sawa206,Average sleep bout in main sleep periods over workday,"",numeric,"","","","",""
Actigraphy,sawa207,Average wake bout in main sleep periods over workdays,"",numeric,"","","","",""
Actigraphy,sawa208,Number of workdays with any naps,"",numeric,days,"","","",""
Actigraphy,sawa209,Number of workdays with naps with any sleep time,"",numeric,days,"","","",""
Actigraphy,sawa21,Average sleep efficiency,"",numeric,percent,"","","",""
Actigraphy,sawa210,Number of workdays with naps at least 15 minutes in length,"",numeric,days,"","","",""
Actigraphy,sawa211,Average number of naps per workday,"",numeric,naps per day,"","","",""
Actigraphy,sawa212,Average number of naps with sleep time per workday,"",numeric,naps per day,"","","",""
Actigraphy,sawa213,Average number of naps at least 15 minutes in length per workday,"",numeric,naps per day,"","","",""
Actigraphy,sawa214,Average nap sleep time per workday,"",numeric,minutes,"","","",""
Actigraphy,sawa215,Average nap sleep time per workday,"",numeric,minutes,"","","",""
Actigraphy,sawa216,Average sleep time in naps at least 15 minutes in length per workday,"",numeric,minutes,"","","",""
Actigraphy,sawa217,Average sleep time in naps per workday over recorded days,"",numeric,minutes per day,"","","",""
Actigraphy,sawa218,Average sleep time in naps per workday of naps at least 15 minutes in length over recorded days,"",numeric,minutes per day,"","","",""
Actigraphy,sawa219,Average in bed time for main sleep over all workdays,"",time,"","","","",""
Actigraphy,sawa22,Average sleep WASO,"",numeric,minutes,"","","",""
Actigraphy,sawa220,Standard deviation of workday in bed times,"",time,"","","","",""
Actigraphy,sawa221,Average sleep onset time for main sleeps over all workdays,"",time,"","","","",""
Actigraphy,sawa222,Standard deviation of sleep onset time over workdays,"",time,"","","","",""
Actigraphy,sawa223,Average sleep offset time over all workdays,"",time,"","","","",""
Actigraphy,sawa224,Standard deviation of sleep offset time over workdays,"",time,"","","","",""
Actigraphy,sawa225,Average out of bed time over all workdays,"",time,"","","","",""
Actigraphy,sawa226,Standard deviation of out of bed workday time,"",time,"","","","",""
Actigraphy,sawa227,Average workday mid time between in and out of bed,"",time,"","","","",""
Actigraphy,sawa228,Standard deviation of mid time between in and out of bed across workdays,"",time,"","","","",""
Actigraphy,sawa229,Average workday mid time between sleep onset and offset,"",time,"","","","",""
Actigraphy,sawa23,Average number of wake bouts in an average sleep period,"",numeric,bouts,"","","",""
Actigraphy,sawa230,Standard deviation of mid time between sleep onset and sleep offset across workdays,"",time,"","","","",""
Actigraphy,sawa231,Average white light time above lux threshold per workday,"",numeric,minutes,"","","",""
Actigraphy,sawa232,Average blue light time above lux threshold per workday,"",numeric,minutes,"","","",""
Actigraphy,sawa233,Average green light time above lux threshold per workday,"",numeric,minutes,"","","",""
Actigraphy,sawa234,Average red light time above lux threshold per workday,"",numeric,minutes,"","","",""
Actigraphy,sawa235,Number of non-workdays with sleep data,"",numeric,days,"","","",""
Actigraphy,sawa236,Average 24 hour sleep over non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa237,Standard deviation of 24 hour sleep over non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa238,Average in bed duration from main sleep over non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa239,Standard deviation of in bed duration from main sleep over non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa24,Sleep maintenance efficiency,"",numeric,percent,"","","",""
Actigraphy,sawa240,Average sleep duration from main sleep over non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa241,Standard deviation of sleep period across non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa242,Average sleep time in main sleep over non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa243,Standard deviation of sleep time in main sleep over non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa244,Average sleep onset latency in main sleep over non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa245,Average wake after sleep onset in main sleep across non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa246,Average snooze time in main sleep over non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa247,Average total time awake in bed during non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa248,Average sleep efficiency in main sleeps over non-workdays,"",numeric,percent,"","","",""
Actigraphy,sawa249,Standard deviation of sleep efficiency in main sleeps over non-workdays,"",numeric,percent,"","","",""
Actigraphy,sawa25,Average number of sleep bouts in an average sleep period,"",numeric,bouts,"","","",""
Actigraphy,sawa250,Average sleep maintenance efficiency in main sleeps across non-workdays,"",numeric,percent,"","","",""
Actigraphy,sawa251,Standard deviation of sleep maintenance efficiency during main sleeps over non-workdays,"",numeric,percent,"","","",""
Actigraphy,sawa252,Average fragmentation index during main sleep across non-workdays,"",numeric,percent,"","","",""
Actigraphy,sawa253,Average sleep bout in main sleep period over non-workdays,"",numeric,"","","","",""
Actigraphy,sawa254,Average wake bout during main sleep period across non-workdays,"",numeric,"","","","",""
Actigraphy,sawa255,Number of non-workdays with naps,"",numeric,days,"","","",""
Actigraphy,sawa256,Number of non-workdays with naps with sleep time,"",numeric,days,"","","",""
Actigraphy,sawa257,Number of non-workdays with naps at least 15 minutes in length,"",numeric,days,"","","",""
Actigraphy,sawa258,Average number of naps per non-workday,"",numeric,naps,"","","",""
Actigraphy,sawa259,Average number of naps with sleep time per non-workday,"",numeric,naps,"","","",""
Actigraphy,sawa26,Average sleep fragmentation,"",numeric,percent,"","","",""
Actigraphy,sawa260,Average number of naps at least 15 minutes in length per non-workday,"",numeric,naps,"","","",""
Actigraphy,sawa261,Average nap sleep time per non-workday,"",numeric,minutes,"","","",""
Actigraphy,sawa262,Average nap sleep time per non-workday of naps with sleep time,"",numeric,minutes,"","","",""
Actigraphy,sawa263,Average nap sleep time per non-workday of naps at least 15 minutes in length,"",numeric,minutes,"","","",""
Actigraphy,sawa264,Average nap sleep time per non-workday over recorded days,"",numeric,minutes per day,"","","",""
Actigraphy,sawa265,Average nap sleep time per non-workday of naps at least 15 minutes in length over recorded days,"",numeric,minutes per day,"","","",""
Actigraphy,sawa266,Average in bed time for main sleeps over all non-workdays,"",time,"","","","",""
Actigraphy,sawa267,Standard deviation of non-workday in bed times,"",time,"","","","",""
Actigraphy,sawa268,Average sleep onset time over all non-workdays,"",time,"","","","",""
Actigraphy,sawa269,Standard deviation of sleep onset times across non-workdays,"",time,"","","","",""
Actigraphy,sawa27,Average white levels in an average day,"",numeric,lux,"","","",""
Actigraphy,sawa270,Average sleep offset time over all non-workdays,"",time,"","","","",""
Actigraphy,sawa271,Standard deviation of sleep offset time across non-workdays,"",time,"","","","",""
Actigraphy,sawa272,Average out of bed time across all non-workdays,"",time,"","","","",""
Actigraphy,sawa273,Standard deviation of out of bed times across non-workdays,"",time,"","","","",""
Actigraphy,sawa274,Average non-workday mid time between in and out of bed,"",time,"","","","",""
Actigraphy,sawa275,Standard deviation of mid times between in and out of bed across non-workdays,"",time,"","","","",""
Actigraphy,sawa276,Average mid time between sleep onset and offset across non-workdays,"",time,"","","","",""
Actigraphy,sawa277,Standard deviation of mid times between sleep onset and offset times across non-workdays,"",time,"","","","",""
Actigraphy,sawa278,Average white light time above lux threshold on non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa279,Average blue light time above lux threshold on non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa28,Standard deviation in rest duration,"",numeric,minutes,"","","",""
Actigraphy,sawa280,Average green light time above lux threshold on non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa281,Average red light time above lux threshold on non-workdays,"",numeric,minutes,"","","",""
Actigraphy,sawa282,Number of reliable days with sleep data recorded,"",numeric,days,"","","",""
Actigraphy,sawa283,Average 24 hour sleep over reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa284,Standard deviation of 24 hour sleep over reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa285,Average in bed duration from main sleep over reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa286,Standard deviation of in bed durations across reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa287,Average sleep duration from main sleep over reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa288,Standard deviation of sleep duration across reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa289,Average sleep time in main sleep over reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa29,Standard deviation in sleep duration ,"",numeric,minutes,"","","",""
Actigraphy,sawa290,Standard deviation of sleep time in main sleep over reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa291,Average onset latency in main sleep over reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa292,Average wake after sleep onset in main sleep over reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa293,Average snooze time in main sleep over reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa294,Average total time awake while in bed over reliable days,"",numeric,minutes,"","","",""
Actigraphy,sawa295,Average sleep efficiency in main sleep over reliable days,"",numeric,percent,"","","",""
Actigraphy,sawa296,Standard deviation of sleep efficiency in main sleep over reliable days,"",numeric,percent,"","","",""
Actigraphy,sawa297,Average sleep maintenance efficiency in main sleep over reliable days,"",numeric,percent,"","","",""
Actigraphy,sawa298,Standard deviation of sleep maintenance efficiency in main sleeps over reliable days,"",numeric,percent,"","","",""
Actigraphy,sawa299,Average fragmentation index in main sleeps over reliable days,"",numeric,percent,"","","",""
Actigraphy,sawa3,Site ID,"",numeric,"","","","",""
Actigraphy,sawa30,Standard deviation in sleep maintenace efficiency,"",numeric,percent,"","","",""
Actigraphy,sawa300,Average sleep bout in main sleep period over reliable days,"",numeric,"","","","",""
Actigraphy,sawa301,Average wake bout in main sleep periods over reliable days,"",numeric,"","","","",""
Actigraphy,sawa302,Number of reliable days with naps,"",numeric,days,"","","",""
Actigraphy,sawa303,Number of reliabe days with naps with sleep time,"",numeric,days,"","","",""
Actigraphy,sawa304,Number of reliable days with naps at least 15 minutes in length,"",numeric,days,"","","",""
Actigraphy,sawa305,Average number of naps per reliable day,"",numeric,naps,"","","",""
Actigraphy,sawa306,Average number of naps with sleep time per reliable day,"",numeric,naps,"","","",""
Actigraphy,sawa307,Average number of naps at least 15 minutes in length per reliable day,"",numeric,naps,"","","",""
Actigraphy,sawa308,Average nap sleep time per reliable day,"",numeric,minutes,"","","",""
Actigraphy,sawa309,Average nap sleep time of naps with sleep per reliable day,"",numeric,minutes,"","","",""
Actigraphy,sawa31,Mean weekend sleep duration,"",numeric,minutes,"","","",""
Actigraphy,sawa310,Average nap sleep time of naps at least 15 minutes in length per reliable day,"",numeric,minutes,"","","",""
Actigraphy,sawa311,Average sleep time in naps per reliable day over recorded days,"",numeric,minutes per day,"","","",""
Actigraphy,sawa312,Average sleep time in naps per reliable day over recorded days of naps at least 15 minutes in length,"",numeric,minutes per day,"","","",""
Actigraphy,sawa313,Average in bed time for main sleep over all reliable days,"",time,"","","","",""
Actigraphy,sawa314,Standard deviation of in bed time across reliable days,"",time,"","","","",""
Actigraphy,sawa315,Average sleep onset time over all reliable days,"",time,"","","","",""
Actigraphy,sawa316,Standard deviation in sleep onset time across all reliable days,"",time,"","","","",""
Actigraphy,sawa317,Average sleep offset time over all reliable days,"",time,"","","","",""
Actigraphy,sawa318,Standard deviation of sleep offset time across all reliable days,"",time,"","","","",""
Actigraphy,sawa319,Average out of bed time across all reliable days,"",time,"","","","",""
Actigraphy,sawa32,Mean weekday sleep duration,"",numeric,minutes,"","","",""
Actigraphy,sawa320,Standard deviation of out of bed time across all reliable days,"",time,"","","","",""
Actigraphy,sawa321,Average mid time between in and out of bed across all reliable days,"",time,"","","","",""
Actigraphy,sawa322,Standard deviation of mid time between in and out of bed times across reliable days,"",time,"","","","",""
Actigraphy,sawa323,Average mid time between sleep onset and offset across all reliable days,"",time,"","","","",""
Actigraphy,sawa324,Standard deviation of mid time between sleep onset and sleep offset across all reliable days,"",time,"","","","",""
Actigraphy,sawa325,Average white light time above lux threshold per reliable day,"",numeric,minutes,"","","",""
Actigraphy,sawa326,Average blue light time above lux threshold per reliable day,"",numeric,minutes,"","","",""
Actigraphy,sawa327,Average green light time above lux threshold per reliable day,"",numeric,minutes,"","","",""
Actigraphy,sawa328,Average red light time above lux threshold per reliable day,"",numeric,minutes,"","","",""
Actigraphy,sawa329,Number of days logged in sleep diary,"",numeric,days,"","","",""
Actigraphy,sawa33,Mean weekend sleep maintenance efficiency,"",numeric,percent,"","","",""
Actigraphy,sawa330,Average in bed time from sleep diary,"",time,"","","","",""
Actigraphy,sawa331,Average wake time from sleep diary,"",time,"","","","",""
Actigraphy,sawa332,Days indicated as worked in sleep diary,"",numeric,days,"","","",""
Actigraphy,sawa333,Percent of days with naps from the sleep diary,"",numeric,percent,"","","",""
Actigraphy,sawa334,Average activity counts per minute in active interval over all days,"",numeric,counts per minute,"","","",""
Actigraphy,sawa335,Average activity counts per minute in main sleep periods over all days,"",numeric,counts per minute,"","","",""
Actigraphy,sawa336,Average activity counts per minute nap periods over all days,"",numeric,counts per minute,"","","",""
Actigraphy,sawa337,Average activity counts per minute in 24 hour periods over all days,"",numeric,counts per minute,"","","",""
Actigraphy,sawa338,Inter-day stability,"",numeric,"","","","",""
Actigraphy,sawa339,Inter-day variability,"",numeric,"","","","",""
Actigraphy,sawa34,Mean weekday sleep maintance efficiency,"",numeric,percent,"","","",""
Actigraphy,sawa340,Study overlaps daylight savings time (March or November),"",choices,"",dst,"","",""
Actigraphy,sawa341,Original epoch length for processed actigraphy study,"",numeric,seconds,"","","",""
Actigraphy,sawa342,Version of Actiware software,"",numeric,"","","","",""
Actigraphy,sawa343,Number of good workdays,"",numeric,days,"","","",""
Actigraphy,sawa344,Number of good non-workdays,"",numeric,days,"","","",""
Actigraphy,sawa35,Weekend sleep mean,"",numeric,minutes,"","","",""
Actigraphy,sawa36,Weekday sleep mean,"",numeric,minutes,"","","",""
Actigraphy,sawa37,Mean time in bed,"",time,"","","","",""
Actigraphy,sawa38,Standard deviation of the mean time in bed,"",time,"","","","",""
Actigraphy,sawa39,Mean time in bed on weekdays,"",time,"","","","",""
Actigraphy,sawa4,Valid/Invalid Status,"",numeric,"","","","",""
Actigraphy,sawa40,Mean time in bed on weekends,"",time,"","","","",""
