folder,domain_id,value,display_name,description
"",centerid,B,Bronx,""
"",centerid,C,Chicago,""
"",centerid,M,Miami,""
"",centerid,S,San Diego,""
"",copd_meds_noyes,0,Never had COPD/emphysema or no indication of COPD/anit-asthmatic medication use,""
"",copd_meds_noyes,1,COPD/anit-asthmatic medication use,""
"",diab_diag,1,Diagnosed diabetic before baseline,""
"",diab_diag,2,Undiagnosed diabetic (or missing self-report data),""
"",diab_diag,3,Non-diabetic,""
"",diabetes,1,Non-diabetic,""
"",diabetes,2,Pre-diabetic,""
"",diabetes,3,Diabetic,""
"",diabetes2,1,No diabetes,""
"",diabetes2,2,Pre-diabetes,""
"",diabetes2,3,Treated diabetes,""
"",diabetes2,4,Untreated diabetes,""
"",diabetes3,1,Normal glucose regulation,""
"",diabetes3,2,Impaired glucose tolerance,""
"",diabetes3,3,Diabetes,""
"",diabetes4,0,Uncontrolled diabetes,""
"",diabetes4,1,Controlled diabetes,""
"",education_level2,1,No high school diploma or GED,""
"",education_level2,2,High school diploma/GED or greater,""
"",education_level3,1,No high school diploma or GED,""
"",education_level3,2,At most a High school diploma/GED,""
"",education_level3,3,Greater than high school (or GED) education,""
"",employment,1,Retired and not currently employed (or missing on employment),""
"",employment,2,Not reitred (or missing on retirement) and not currently employed,""
"",employment,3,Employed part-time (<35 hours/week),""
"",employment,4,Employed full-time (>35 hours/week),""
"",gender,M,Male,""
"",gender,F,Female,""
"",gender2,0,Female,""
"",gender2,1,Male,""
"",generation,1,1st generation,""
"",generation,2,2nd generation,""
"",generation,3,3rd generation,""
"",generation,4,4th generation or higher,""
"",generation2,1,1st generation,""
"",generation2,2,2nd generation or higher,""
"",hispanic_address,1,Non-Hispanic Surname Address List,""
"",hispanic_address,2,Hispanic Surname Address List,""
"",hyper_level,1,No hypertension,""
"",hyper_level,2,Pre-hypertension,""
"",hyper_level,3,Treated hypertension,""
"",hyper_level,4,Untreated hypertension,""
"",income,1,"Less than $10,000",""
"",income,2,"$10,001 - $15,000",""
"",income,3,"$15,001 - $20,000",""
"",income,4,"$20,001 - $25,000",""
"",income,5,"$25,001 - $29,999",""
"",income,6,"$30,000 - $40,000",""
"",income,7,"$40,001 - $50,000",""
"",income,8,"$50,001 - $75,000",""
"",income,9,"$75,001 - $100,000",""
"",income,10,"More than $100,000",""
"",income2,1,"Less than $30,000",""
"",income2,2,"$30,000 or more",""
"",income2,3,Missing,""
"",income3,1,"Less than $10,000",""
"",income3,2,"$10,001 - $20,000",""
"",income3,3,"$20,001 - $40,000",""
"",income3,4,"$40,001 - $75,000",""
"",income3,5,"More than $75,000",""
"",jama_diet_score,1,Below 60th gender-specific percentile,""
"",jama_diet_score,2,Above 60th gender-specific percentile,""
"",language,1,Spanish,""
"",language,2,English,""
"",latino_background,0,Dominican,""
"",latino_background,1,Central American,""
"",latino_background,2,Cuban,""
"",latino_background,3,Mexican,""
"",latino_background,4,Puerto Rican,""
"",latino_background,5,South American,""
"",latino_background,6,More than one heritage,""
"",latino_background,7,Other,""
"",latino_background,Q,Unknown,Code is not specified in SOL data dictionary.
"",latino_background2,0,Dominican,""
"",latino_background2,1,Central American,""
"",latino_background2,2,Cuban,""
"",latino_background2,3,Mexican,""
"",latino_background2,4,Puerto Rican,""
"",latino_background2,5,More than one/Other heritage,""
"",latino_background2,Q,Unknown,Code is not specified in SOL data dictionary.
"",latino_background3,0,Dominican,""
"",latino_background3,1,Central American,""
"",latino_background3,2,Cuban,""
"",latino_background3,3,Mexican,""
"",latino_background3,4,Puerto Rican,""
"",latino_background3,5,South American,""
"",latino_background3,6,More than one/Other heritage,""
"",latino_background3,Q,Unknown,Code is not specified in SOL data dictionary.
"",marital_status,1,Single,""
"",marital_status,2,Married or living with partner,""
"",marital_status,3,"Separated, divorced, or widow(er)",""
"",nativity,0,Non-US Born and YRSUS < 10,""
"",nativity,1,Non-US Born and 10<=YRSUS<20,""
"",nativity,2,Non-US Born and 20<=YRSUS,""
"",nativity,3,US Born,""
"",never_current,1,Never,""
"",never_current,2,Former,""
"",never_current,3,Current,""
"",never_current_dk,1,Never,""
"",never_current_dk,2,Former,""
"",never_current_dk,3,Current,""
"",never_current_dk,9,Don't Know,""
"",normal_endstage,1,Normal,""
"",normal_endstage,2,Mild,""
"",normal_endstage,3,Moderate,""
"",normal_endstage,4,Severe,""
"",normal_endstage,5,End-Stage,""
"",noyes01,0,No,""
"",noyes01,1,Yes,""
"",noyes01q,0,No,""
"",noyes01q,1,Yes,""
"",noyes01q,Q,Unknown,Code is not specified in SOL data dictionary.
"",noyesdk,0,No,""
"",noyesdk,1,Yes,""
"",noyesdk,9,Don't Know,""
"",noyesu,0,No,""
"",noyesu,1,Yes,""
"",noyesu,9,Unknown,""
"",occupation,1,Non-skilled worker,""
"",occupation,2,Service worker,""
"",occupation,3,Skilled worker,""
"",occupation,4,"Professional/technical, administrative/executive, or office staff",""
"",occupation,5,Other occupation,""
"",perio_grade,0,Normal,""
"",perio_grade,1,Mild periodontitis,""
"",perio_grade,2,Moderate periodontitis,""
"",perio_grade,3,Severe periodontitis,""
"",race,1,American Indian/Alaska Native,""
"",race,2,Asian,""
"",race,3,Hawaiian Native/Pacific Islander,""
"",race,4,Black,""
"",race,5,White,""
"",race,6,Multi-racial,""
"",race,7,Unknown/NR,""
"",race,9,Refused,""
"",site_background,1,Dominicans - Bronx,""
"",site_background,2,Central American - Bronx,""
"",site_background,3,Central American - Chicago,""
"",site_background,4,Central American - Miami,""
"",site_background,5,Cubans - Miami,""
"",site_background,6,Mexicans - Bronx,""
"",site_background,7,Mexicans - Chicago,""
"",site_background,8,Mexicans - San Diego,""
"",site_background,9,Puerto Ricans - Bronx,""
"",site_background,10,Puerto Ricans - Chicago,""
"",site_background,11,South American - Bronx,""
"",site_background,12,South American - Chicago,""
"",site_background,13,South American - Miami,""
"",site_background,14,Other - Bronx,""
"",site_background,15,Other - Chicago,""
"",site_background,16,Other - Miami,""
"",site_background,17,Other - San Diego,""
"",site_background2,1,Dominicans - Bronx,""
"",site_background2,2,Central American - Bronx,""
"",site_background2,3,Central American - Chicago,""
"",site_background2,4,Central American - Miami,""
"",site_background2,5,Cubans - Miami,""
"",site_background2,6,Mexicans - Chicago,""
"",site_background2,7,Mexicans - San Diego,""
"",site_background2,8,Puerto Ricans - Bronx,""
"",site_background2,9,Puerto Ricans - Chicago,""
"",site_background2,10,South American - Bronx,""
"",site_background2,11,South American - Chicago,""
"",site_background2,12,South American - Miami,""
"",site_background2,13,Other - Bronx,""
"",site_background2,14,Other - Chicago,""
"",site_background2,15,Other - Miami,""
"",site_background2,16,Other - San Diego,""
"",siteid,1,Bronx (B),""
"",siteid,2,Chicago (C),""
"",siteid,3,Miami (M),""
"",siteid,4,San Diego (S),""
"",use_permitted,0,Use not permitted,""
"",use_permitted,1,Permitted,""
"",valid,0,Invalid,""
"",valid,1,Valid,""
"",visit_range,1,None,""
"",visit_range,2,Once,""
"",visit_range,3,2-3 times,""
"",visit_range,4,More than 3 times,""
"",vnum,1,HCHS/SOL Baseline,""
"",years,1,0 years,""
"",years,2,>0 and <10 years,""
"",years,3,10+ years,""
"",yrsus_c2,1,Less than 10 years,""
"",yrsus_c2,2,10 years or more,""
